Country,Date,nuclear_electricity
China,1900,
China,1901,
China,1902,
China,1903,
China,1904,
China,1905,
China,1906,
China,1907,
China,1908,
China,1909,
China,1910,
China,1911,
China,1912,
China,1913,
China,1914,
China,1915,
China,1916,
China,1917,
China,1918,
China,1919,
China,1920,
China,1921,
China,1922,
China,1923,
China,1924,
China,1925,
China,1926,
China,1927,
China,1928,
China,1929,
China,1930,
China,1931,
China,1932,
China,1933,
China,1934,
China,1935,
China,1936,
China,1937,
China,1938,
China,1939,
China,1940,
China,1941,
China,1942,
China,1943,
China,1944,
China,1945,
China,1946,
China,1947,
China,1948,
China,1949,
China,1950,
China,1951,
China,1952,
China,1953,
China,1954,
China,1955,
China,1956,
China,1957,
China,1958,
China,1959,
China,1960,
China,1961,
China,1962,
China,1963,
China,1964,
China,1965,0.0
China,1966,0.0
China,1967,0.0
China,1968,0.0
China,1969,0.0
China,1970,0.0
China,1971,0.0
China,1972,0.0
China,1973,0.0
China,1974,0.0
China,1975,0.0
China,1976,0.0
China,1977,0.0
China,1978,0.0
China,1979,0.0
China,1980,0.0
China,1981,0.0
China,1982,0.0
China,1983,0.0
China,1984,0.0
China,1985,0.0
China,1986,0.0
China,1987,0.0
China,1988,0.0
China,1989,0.0
China,1990,0.0
China,1991,0.0
China,1992,0.0
China,1993,1.6
China,1994,14.76
China,1995,12.83
China,1996,14.34
China,1997,14.42
China,1998,14.1
China,1999,14.95
China,2000,16.74
China,2001,17.47
China,2002,25.13
China,2003,43.34
China,2004,50.47
China,2005,53.09
China,2006,54.84
China,2007,62.13
China,2008,68.39
China,2009,70.05
China,2010,74.74
China,2011,87.2
China,2012,98.32
China,2013,111.5
China,2014,133.22
China,2015,171.38
China,2016,213.18
China,2017,248.1
China,2018,295.0
China,2019,348.7
China,2020,366.2
China,2021,407.5
China,2022,417.8
China,2023,438.9216245991407
China,2024,526.0608122995704
China,2025,613.2
China,2026,724.38
China,2027,835.5600000000001
China,2028,946.74
China,2029,1057.92
China,2030,1169.1
China,2031,1280.28
China,2032,1391.46
China,2033,1502.6399999999999
China,2034,1613.82
China,2035,1725.0
China,2036,1843.6
China,2037,1962.2
China,2038,2080.8
China,2039,2199.4
China,2040,2318.0
China,2041,2436.6
China,2042,2555.2
China,2043,2673.8
China,2044,2792.3999999999996
China,2045,2911.0
China,2046,3029.6
China,2047,3148.2
China,2048,3266.8
China,2049,3385.3999999999996
China,2050,3504.0
China,2051,3622.6
China,2052,3741.2
China,2053,3859.7999999999997
China,2054,3978.4
China,2055,4097.0
China,2056,4215.6
China,2057,4334.2
China,2058,4452.799999999999
China,2059,4571.4
China,2060,4690.0
China,2061,4808.6
China,2062,4927.2
China,2063,5045.799999999999
China,2064,5164.4
China,2065,5283.0
China,2066,5401.6
China,2067,5520.2
China,2068,5638.799999999999
China,2069,5757.4
China,2070,5876.0
China,2071,5994.599999999999
China,2072,6113.2
China,2073,6231.8
China,2074,6350.4
China,2075,6469.0
China,2076,6587.599999999999
China,2077,6706.2
China,2078,6824.8
China,2079,6943.4
China,2080,7062.0
China,2081,7180.599999999999
China,2082,7299.2
China,2083,7417.799999999999
China,2084,7536.4
China,2085,7655.0
China,2086,7773.599999999999
China,2087,7892.2
China,2088,8010.799999999999
China,2089,8129.4
China,2090,8248.0
China,2091,8366.599999999999
China,2092,8485.2
China,2093,8603.8
China,2094,8722.4
China,2095,8841.0
China,2096,8959.599999999999
China,2097,9078.2
China,2098,9196.8
China,2099,9315.4
China,2100,9434.0
India,1900,
India,1901,
India,1902,
India,1903,
India,1904,
India,1905,
India,1906,
India,1907,
India,1908,
India,1909,
India,1910,
India,1911,
India,1912,
India,1913,
India,1914,
India,1915,
India,1916,
India,1917,
India,1918,
India,1919,
India,1920,
India,1921,
India,1922,
India,1923,
India,1924,
India,1925,
India,1926,
India,1927,
India,1928,
India,1929,
India,1930,
India,1931,
India,1932,
India,1933,
India,1934,
India,1935,
India,1936,
India,1937,
India,1938,
India,1939,
India,1940,
India,1941,
India,1942,
India,1943,
India,1944,
India,1945,
India,1946,
India,1947,
India,1948,
India,1949,
India,1950,
India,1951,
India,1952,
India,1953,
India,1954,
India,1955,
India,1956,
India,1957,
India,1958,
India,1959,
India,1960,
India,1961,
India,1962,
India,1963,
India,1964,
India,1965,0.0
India,1966,0.0
India,1967,0.0
India,1968,0.0
India,1969,0.73
India,1970,1.31
India,1971,0.97
India,1972,0.92
India,1973,1.95
India,1974,1.8
India,1975,2.14
India,1976,2.66
India,1977,1.85
India,1978,2.26
India,1979,2.35
India,1980,2.45
India,1981,2.47
India,1982,2.16
India,1983,3.08
India,1984,4.04
India,1985,4.51
India,1986,5.02
India,1987,5.32
India,1988,6.08
India,1989,4.02
India,1990,6.4
India,1991,5.41
India,1992,6.4
India,1993,6.23
India,1994,4.95
India,1995,7.62
India,1996,8.4
India,1997,10.07
India,1998,11.37
India,1999,12.73
India,2000,15.77
India,2001,18.89
India,2002,19.35
India,2003,18.14
India,2004,21.26
India,2005,17.73
India,2006,17.63
India,2007,17.83
India,2008,15.23
India,2009,16.82
India,2010,23.08
India,2011,32.22
India,2012,33.14
India,2013,33.31
India,2014,34.69
India,2015,38.31
India,2016,37.9
India,2017,37.41
India,2018,39.05
India,2019,45.16
India,2020,44.61
India,2021,43.92
India,2022,46.19
India,2023,47.60533931383753
India,2024,66.26342189960785
India,2025,84.92150448537816
India,2026,103.57958707114847
India,2027,122.23766965691877
India,2028,140.8957522426891
India,2029,159.5538348284594
India,2030,178.2119174142297
India,2031,196.87
India,2032,341.1158620689655
India,2033,485.36172413793105
India,2034,629.6075862068966
India,2035,773.8534482758621
India,2036,918.0993103448276
India,2037,1062.345172413793
India,2038,1206.5910344827587
India,2039,1350.8368965517243
India,2040,1495.0827586206897
India,2041,1639.328620689655
India,2042,1783.574482758621
India,2043,1927.8203448275863
India,2044,2072.0662068965516
India,2045,2216.3120689655175
India,2046,2360.557931034483
India,2047,2504.8037931034482
India,2048,2649.0496551724136
India,2049,2793.2955172413795
India,2050,2937.541379310345
India,2051,3081.78724137931
India,2052,3226.033103448276
India,2053,3370.2789655172414
India,2054,3514.524827586207
India,2055,3658.7706896551726
India,2056,3803.016551724138
India,2057,3947.2624137931034
India,2058,4091.508275862069
India,2059,4235.754137931035
India,2060,4380.0
India,2061,4524.245862068966
India,2062,4668.491724137931
India,2063,4812.737586206897
India,2064,4956.983448275862
India,2065,5101.229310344827
India,2066,5245.475172413793
India,2067,5389.721034482759
India,2068,5533.966896551724
India,2069,5678.21275862069
India,2070,5822.458620689656
India,2071,5966.7044827586205
India,2072,6110.950344827586
India,2073,6255.196206896552
India,2074,6399.442068965517
India,2075,6543.687931034483
India,2076,6687.933793103449
India,2077,6832.179655172414
India,2078,6976.42551724138
India,2079,7120.671379310345
India,2080,7264.91724137931
India,2081,7409.163103448276
India,2082,7553.408965517241
India,2083,7697.654827586207
India,2084,7841.900689655173
India,2085,7986.146551724138
India,2086,8130.3924137931035
India,2087,8274.63827586207
India,2088,8418.884137931036
India,2089,8563.130000000001
India,2090,8707.375862068966
India,2091,8851.621724137933
India,2092,8995.867586206898
India,2093,9140.113448275863
India,2094,9284.35931034483
India,2095,9428.605172413794
India,2096,9572.85103448276
India,2097,9717.096896551726
India,2098,9861.34275862069
India,2099,10005.588620689656
India,2100,10149.834482758622
Pakistan,1900,
Pakistan,1901,
Pakistan,1902,
Pakistan,1903,
Pakistan,1904,
Pakistan,1905,
Pakistan,1906,
Pakistan,1907,
Pakistan,1908,
Pakistan,1909,
Pakistan,1910,
Pakistan,1911,
Pakistan,1912,
Pakistan,1913,
Pakistan,1914,
Pakistan,1915,
Pakistan,1916,
Pakistan,1917,
Pakistan,1918,
Pakistan,1919,
Pakistan,1920,
Pakistan,1921,
Pakistan,1922,
Pakistan,1923,
Pakistan,1924,
Pakistan,1925,
Pakistan,1926,
Pakistan,1927,
Pakistan,1928,
Pakistan,1929,
Pakistan,1930,
Pakistan,1931,
